character_skills_tables	5
image_path	key	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
icon_stat_melee.png	dummy_agent_actions_enable_assist_army		Actions [HIDDEN]	0	false	false	false	0.0	0
trait_human.png	magic_ice_shield_of_cold_dummy		Shield of Cold [HIDDEN]	0	false	false	false	0.0	0
grudge_shield_of_ice.png	magic_ice_shield_of_cold		Shield of Cold	0	false	false	false	0.0	0
grudge_frost_sword.png	magic_ice_frost_blade		Frost Blade	0	false	false	false	0.0	0
grudge_crisping_cold.png	magic_ice_crisping_cold		Crisping Cold	0	false	false	false	0.0	0
grudge_shattering_frost.png	magic_ice_shattering_frost		Shattering Frost	0	false	false	false	0.0	0
grudge_chill.png	magic_ice_chill		Chill	0	false	false	false	0.0	0
grudge_blinding_blizzard.png	magic_ice_blinding_blizzard		Blinding Blizzard	0	false	false	false	0.0	0
grudge_lore_cold_witchering.png	skill_all_magic_ice_cold		Unnatural Cold	0	false	false	false	0.0	0
trait_human.png	magic_ice_ice_shards_dummy		Ice Shards [HIDDEN]	0	false	false	false	0.0	0
grudge_ice_shards.png	magic_ice_ice_shards		Ice Shards	0	false	false	false	0.0	0
grudge_storm_strike.png	magic_ice_storm_strike		Storm Strike	0	false	false	false	0.0	0
grudge_chill_blast.png	magic_ice_chill_blast		Chill Blast	0	false	false	false	0.0	0
grudge_ice_blizzard.png	magic_ice_ice_blizzard		Ice Blizzard	0	false	false	false	0.0	0
grudge_tempest.png	magic_ice_tempest		Tempest	0	false	false	false	0.0	0
grudge_hailstorm.png	magic_ice_hailstorm		Hailstorm	0	false	false	false	0.0	0
grudge_lore_winter_rage.png	skill_all_magic_ice_winter		Winter Rage	0	false	false	false	0.0	0
mount_imperial_pegasus.png	wh_main_skill_mount_ksl_icewitch_pegasus_a	The ice pegasi are rare creatures known to live in the cold, distant lands of Kislev. Legends say that only Ice Witches can tame them.	Ice Pegasus	18	false	false	false	0.0	0
mount_warhorse.png	wh_main_skill_mount_ksl_icewitch_warhorse_a	Should a Battle Wizard need a mount, then his station would ensure he receives a warhorse of good breed.	Warhorse	6	false	false	false	0.0	0
wh2_hef_aspect_of_the_banshee.png	wh_main_skill_ancient_widow		Form of the Ancient Widow	6	false	false	false	0.0	0
