character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
spy			wh2_main_skill_node_set_def_kouran_darkhand		false	false	def_kouran_darkhand
champion			wh2_main_skill_node_set_lzd_chakax		false	false	lzd_chakax
general			wh2_main_skill_node_set_hef_belannaer		false	false	hef_belannaer
general			wh2_main_skill_node_set_hef_caradryan		false	false	hef_bloodline_caradryan
general			wh2_main_skill_node_set_def_tullaris_dreadbringer		false	false	def_tullaris_dreadbringer
general			wh2_main_skill_node_set_lzd_tetto_eko		false	false	lzd_tetto_eko
general			wh2_main_skill_node_set_hef_korhil		false	false	hef_korhil
general			wh2_main_skill_node_set_brt_john_tyreweld		false	false	brt_john_tyreweld
champion			wh2_main_skill_node_set_brt_donna_don_domingio		false	false	brt_donna_don_domingio
runesmith			wh2_main_skill_node_set_hef_caradryan_hero		false	false	hef_caradryan_hero
general			wh2_main_skill_node_set_dwf_grimm_burloksson		false	false	dwf_bloodline_grimm_burloksson
general			wh2_main_skill_node_set_lzd_lord_huinitenuchli		false	false	lzd_lord_huinitenuchli
champion			wh2_main_skill_node_set_def_tullaris_hero		false	false	def_tullaris_hero
general			wh2_main_skill_node_set_chs_egrimm_van_horstmann		false	false	chs_egrimm_van_horstmann
general			wh2_main_skill_node_set_wef_naieth_the_prophetess		false	false	wef_naieth_the_prophetess
general			mixu_skill_node_set_nor_egil_styrbjorn		false	false	nor_egil_styrbjorn
general			wh2_main_skill_node_set_grn_gorfang_rotgut		false	false	grn_gorfang_rotgut
general			wh2_main_skill_node_set_lzd_oxyotl		false	false	lzd_oxyotl
engineer			wh2_main_skill_node_set_tmb_ramhotep		false	false	tmb_ramhotep
general			wh2_main_skill_node_set_tmb_tutankhanut		false	false	tmb_tutankhanut
general			mixu_skill_node_set_chs_malofex_the_storm_chaser		false	false	chs_malofex_the_storm_chaser
general			mixu_skill_node_bst_ghorros_warhoof		false	false	bst_ghorros_warhoof
general			mixu_skill_node_skv_feskit		false	false	skv_feskit
spy			mixu_skill_node_bst_gorehoof		false	false	bst_gorehoof
general			mixu_skill_node_set_chs_aekold_helbrass		false	false	chs_aekold_helbrass
runesmith			mixu_skill_node_set_chs_azubhor_clawhand		false	false	chs_azubhor_clawhand
