effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
EMPTY_EFFECT	campaign_movement.png	1	campaign_movement.png	both	true
building_upkeep	military_spending.png	800	military_spending.png	campaign	true
food_cost	amber.png	1	amber.png	campaign	false
minimum_xp_gain_from_eligible_battle		0		campaign	true
wh2_dlc09_ability_cooldown_stay_here_ill_get_help	magic_cooldown.png	60	magic_cooldown.png	battle	false
wh2_dlc09_ability_uses_stay_here_ill_get_help	general_ability.png	705	general_ability.png	battle	true
wh2_dlc09_books_of_nagash_reward_2_campaign_dummy	agent.png	101	agent.png	campaign	true
wh2_dlc09_books_of_nagash_reward_3_army_dummy	replenishment.png	101	replenishment.png	campaign	true
wh2_dlc09_books_of_nagash_reward_3_region_dummy	disaster.png	5	disaster.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage_recharge	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_barrage_uses	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm_recharge	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_bundle_tmb_final_battle_army_abilities_swarm_uses	diplomacy.png	0	diplomacy.png	campaign	true
wh2_dlc09_diplomacy_bonus_bretonnia	diplomacy.png	33	diplomacy.png	campaign	true
wh2_dlc09_diplomatic_relations_exiles_of_nehek	diplomacy.png	2	diplomacy.png	campaign	true
wh2_dlc09_disable_ritual_army_capacity		0		campaign	false
wh2_dlc09_disable_ritual_carrion		0		campaign	false
wh2_dlc09_disable_ritual_necropolis_knights		0		campaign	false
wh2_dlc09_disable_ritual_nehekhara_horsemen		0		campaign	false
wh2_dlc09_disable_ritual_nehekhara_warriors		0		campaign	false
wh2_dlc09_edict_brt_peasants_duty_growth_base	growth.png	101	growth.png	campaign	true
wh2_dlc09_edict_brt_peasants_duty_growth_mod	edict_host_festag.png	284	edict_host_festag.png	campaign	true
wh2_dlc09_edict_brt_peasants_duty_public_order_base	public_order.png	5	public_order.png	campaign	true
wh2_dlc09_edict_brt_peasants_duty_public_order_mod	edict_host_festag.png	285	edict_host_festag.png	campaign	true
wh2_dlc09_edict_brt_peasants_duty_tax_base	income.png	101	income.png	campaign	true
wh2_dlc09_edict_brt_peasants_duty_tax_mod	edict_host_festag.png	286	edict_host_festag.png	campaign	true
