character_skill_level_to_effects_junctions_tables	1
character_skill_key	effect_key	effect_scope	level	value
wh_main_skill_vmp_lord_unique_mannfred_loremaster_lore_of_death	wwl_skill_loremaster_all_spell_slots	character_to_character_own	1	1
wh_main_skill_emp_lord_unique_balthasar_loremaster_lore_of_metal	wwl_skill_loremaster_all_spell_slots	character_to_character_own	1	1
wh_main_skill_vmp_lord_unique_loremaster_lore_of_vampires	wwl_skill_loremaster_all_spell_slots	character_to_character_own	1	1
mixu_ksl_katarin_bokha_unique_loremaster_of_ice_magic	wwl_skill_loremaster_all_spell_slots	character_to_character_own	1	1
wwl_wh2_main_hef_teclis_mixed_magic_1	wh2_main_hef_teclis_wh_dlc03_effect_ability_enable_wild_heart	character_to_character_own	1	1.0
wwl_wh2_main_hef_teclis_mixed_magic_1	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wwl_wh2_main_hef_teclis_mixed_magic_1	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh_dlc03_skill_magic_beasts_wyssans_wildform_enabled	character_to_character_own	1	1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_enable_wyssans_wildform_upgraded	character_to_character_own	2	1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_dlc03_effect_magic_beasts_cooldown_wyssans_wildform	character_to_character_own	2	-30.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_enable_wyssans_wildform_upgraded	character_to_character_own	3	1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_miscast_reduction_of_wyssans_wildform_upgraded	character_to_character_own	3	-15.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_reduce_wom_cost_wyssans_wildform	character_to_character_own	3	-1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_reduce_wom_cost_wyssans_wildform_upgraded	character_to_character_own	3	-1.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_dlc03_effect_magic_beasts_cooldown_wyssans_wildform	character_to_character_own	3	-50.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-2.0
wwl_wh2_main_hef_teclis_mixed_magic_2	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	2.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_dlc03_effect_magic_beasts_enable_flock_of_doom	character_to_character_own	1	1.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_enable_flock_of_doom_upgraded	character_to_character_own	2	1.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_dlc03_effect_magic_beasts_cooldown_flock_of_doom	character_to_character_own	2	-30.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2.0
wwl_wh2_main_hef_teclis_mixed_magic_3	wh2_main_hef_teclis_wh2_main_effect_magic_beasts_enable_flock_of_doom_upgraded	character_to_character_own	3	1.0
